Afghanistan|afghanistan
Albania|albania
Algeria|algeria
Andorra|andorra
Angola|angola
Antigua and Barbuda|antigua_and_barbuda
Argentina|argentina
Armenia|armenia
Australia|australia
Austria|austria
Azerbaijan|azerbaijan
Bahamas|bahamas
Bahrain|bahrain
Bangladesh|bangladesh
Barbados|barbados
Belarus|belarus
Belgium|belgium
Belize|belize
Benin|benin
Bhutan|bhutan
Bolivia|bolivia
Bosnia and Herzegovina|bosnia_and_herzegovina
Botswana|botswana
Brazil|brazil
Brunei|brunei
Bulgaria|bulgaria
Burkina Faso|burkina_faso
Burma / Myanmar|burma_/_myanmar
Burundi|burundi
Cambodia|cambodia
Cameroon|cameroon
Canada|canada
Cape Verde|cape_verde
Central African Republic|central_african_republic
Chad|chad
Chile|chile
China|china
Colombia|colombia
Comoros|comoros
Costa Rica|costa_rica
Croatia|croatia
Cuba|cuba
Cyprus|cyprus
Czech Republic|czech_republic
Democratic Republic of Congo|democratic_republic_of_congo
Denmark|denmark
Djibouti|djibouti
Dominica|dominica
Dominican Republic|dominican_republic
East Timor|east_timor
Ecuador|ecuador
Egypt|egypt
El Salvador|el_salvador
Equatorial Guinea|equatorial_guinea
Eritrea|eritrea
Estonia|estonia
Ethiopia|ethiopia
Fiji|fiji
Finland|finland
France|france
Gabon|gabon
Gambia|gambia
Georgia|georgia
Germany|germany
Ghana|ghana
Greece|greece
Grenada|grenada
Guatemala|guatemala
Guinea|guinea
Guinea-Bissau|guinea-bissau
Guyana|guyana
Haiti|haiti
Honduras|honduras
Hungary|hungary
Iceland|iceland
India|india
Indonesia|indonesia
Iran|iran
Iraq|iraq
Ireland|ireland
Israel|israel
Italy|italy
Ivory Coast|ivory_coast
Jamaica|jamaica
Japan|japan
Jordan|jordan
Kazakhstan|kazakhstan
Kenya|kenya
Kiribati|kiribati
Kuwait|kuwait
Kyrgyzstan|kyrgyzstan
Laos|laos
Latvia|latvia
Lebanon|lebanon
Lesotho|lesotho
Liberia|liberia
Libya|libya
Liechtenstein|liechtenstein
Lithuania|lithuania
Luxembourg|luxembourg
Madagascar|madagascar
Malawi|malawi
Malaysia|malaysia
Maldives|maldives
Mali|mali
Malta|malta
Marshall Islands|marshall_islands
Mauricio|mauricio
Mauritania|mauritania
Mexico|mexico
Micronesia|micronesia
Moldova|moldova
Monaco|monaco
Mongolia|mongolia
Montenegro|montenegro
Morocco|morocco
Mozambique|mozambique
Namibia|namibia
Nauru|nauru
Nepal|nepal
Netherlands|netherlands
New Zealand|new_zealand
Nicaragua|nicaragua
Niger|niger
Nigeria|nigeria
North Korea|north_korea
Norway|norway
Oman|oman
Pakistan|pakistan
Palau|palau
Panama|panama
Papua New Guinea|papua_new_guinea
Paraguay|paraguay
Peru|peru
Philippines|philippines
Poland|poland
Portugal|portugal
Qatar|qatar
Republic of Macedonia|republic_of_macedonia
Republic of the Congo|republic_of_the_congo
Romania|romania
Russia|russia
Rwanda|rwanda
Saint Kitts and Nevis|saint_kitts_and_nevis
Samoa|samoa
San Marino|san_marino
Sao Tome and Principe|sao_tome_and_principe
Saudi Arabia|saudi_arabia
Senegal|senegal
Serbia|serbia
Seychelles|seychelles
Sierra Leone|sierra_leone
Singapore|singapore
Slovakia|slovakia
Slovenia|slovenia
Solomon Islands|solomon_islands
Somalia|somalia
South Africa|south_africa
South Korea|south_korea
South Sudan|south_sudan
Spain|spain
Sri Lanka|sri_lanka
St. Lucia|st._lucia
St. Vincent and the Grenadines|st._vincent_and_the_grenadines
Sudan|sudan
Surinam|surinam
Swaziland|swaziland
Sweden|sweden
Switzerland|switzerland
Syria|syria
Tajikistan|tajikistan
Tanzania|tanzania
Thailand|thailand
Togo|togo
Tonga|tonga
Trinidad and Tobago|trinidad_and_tobago
Tunisia|tunisia
Turkey|turkey
Turkmenistan|turkmenistan
Tuvalu|tuvalu
Uganda|uganda
Ukraine|ukraine
United Arab Emirates|united_arab_emirates
United Kingdom|united_kingdom
USA|usa
Uruguay|uruguay
Uzbekistan|uzbekistan
Vanuatu|vanuatu
Vatican City|vatican_city
Venezuela|venezuela
Vietnam|vietnam
Yemen|yemen
Zambia|zambia
Zimbabwe|zimbabwe
